Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2019-09-03,11910.8603515625,11956.6904296875,11869.2802734375,11921.9404296875,66704200
2019-09-04,12025.0400390625,12078.400390625,11999.830078125,12043.9599609375,63323800
2019-09-05,12126.7802734375,12151.3095703125,12084.169921875,12117.900390625,89831600
2019-09-06,12191.73046875,12205.099609375,12131.2900390625,12146.0,80411000
2019-09-09,12226.099609375,12245.1103515625,12189.599609375,12210.8701171875,74246100
2019-09-10,12268.7099609375,12292.1396484375,12179.8798828125,12210.8798828125,107899800
2019-09-11,12359.0703125,12394.2802734375,12317.6103515625,12341.83984375,90579200
2019-09-12,12410.25,12471.830078125,12311.8095703125,12399.400390625,111214300
2019-09-13,12468.5302734375,12494.25,12408.9296875,12412.7197265625,90990500
2019-09-16,12380.3095703125,12421.25,12362.98046875,12387.6796875,80505200
2019-09-17,12372.6103515625,12392.9697265625,12303.509765625,12370.9599609375,77784600
2019-09-18,12389.6201171875,12416.0498046875,12354.490234375,12361.23046875,70537600
2019-09-19,12457.7001953125,12466.7802734375,12354.830078125,12355.919921875,81542000
2019-09-20,12468.009765625,12490.83984375,12418.5,12462.5703125,192994000
2019-09-23,12342.330078125,12441.01953125,12264.1396484375,12432.2998046875,80383600
2019-09-24,12307.150390625,12375.3095703125,12307.150390625,12368.9599609375,60350800
2019-09-25,12234.1796875,12261.0595703125,12141.8203125,12250.080078125,72631600
2019-09-26,12288.5400390625,12313.150390625,12223.2900390625,12227.76953125,78923300
2019-09-27,12380.9404296875,12404.4697265625,12324.7099609375,12327.7900390625,66140900
2019-09-30,12428.080078125,12441.0302734375,12346.9404296875,12367.8095703125,70129900
2019-10-01,12263.830078125,12497.2802734375,12263.830078125,12469.669921875,78839200
2019-10-02,11925.25,12226.8603515625,11925.25,12221.740234375,95636000
2019-10-04,12012.8095703125,12012.91015625,11878.98046875,11958.3095703125,88134300
2019-10-07,12097.4296875,12105.08984375,11969.3203125,12008.76953125,65614000
2019-10-08,11970.2001953125,12097.9404296875,11933.01953125,12097.8896484375,80877600
2019-10-09,12094.259765625,12165.5302734375,11953.1201171875,11973.8203125,68812700
2019-10-10,12164.2001953125,12202.7099609375,12029.4599609375,12082.8896484375,88437900
2019-10-11,12511.650390625,12511.650390625,12240.9404296875,12248.8798828125,100870000
2019-10-14,12486.5595703125,12495.240234375,12387.9501953125,12468.7802734375,59086900
2019-10-15,12629.7900390625,12682.400390625,12511.900390625,12565.6796875,94185500
2019-10-16,12670.1103515625,12698.3701171875,12603.830078125,12644.1796875,99475900
2019-10-17,12654.9501953125,12814.490234375,12647.8603515625,12655.3203125,99302200
2019-10-18,12633.599609375,12700.3798828125,12603.169921875,12637.009765625,88676100
2019-10-21,12747.9599609375,12787.349609375,12646.2802734375,12661.9296875,80978200
2019-10-22,12754.6904296875,12791.3095703125,12730.7001953125,12757.73046875,79430700
2019-10-23,12798.1904296875,12819.2197265625,12699.849609375,12702.919921875,76218700
2019-10-24,12872.099609375,12914.240234375,12820.669921875,12860.6298828125,84318900
2019-10-25,12894.509765625,12895.849609375,12834.0,12886.419921875,59800700
2019-10-28,12941.7099609375,12986.490234375,12892.83984375,12897.400390625,69024100
2019-10-29,12939.6201171875,12951.8798828125,12897.33984375,12946.33984375,76948300
2019-10-30,12910.23046875,12944.259765625,12830.330078125,12929.419921875,100397400
2019-10-31,12866.7900390625,12953.33984375,12795.08984375,12937.58984375,100660900
2019-11-01,12961.0498046875,12992.0703125,12896.7197265625,12912.08984375,65905400
2019-11-04,13136.2802734375,13171.169921875,13019.1796875,13022.9501953125,84782400
2019-11-05,13148.5,13166.080078125,13112.650390625,13134.330078125,83190400
2019-11-06,13179.8896484375,13187.66015625,13110.91015625,13150.9404296875,80045600
2019-11-07,13289.4599609375,13300.759765625,13227.3701171875,13258.259765625,117100600
2019-11-08,13228.5595703125,13278.1796875,13195.830078125,13248.6201171875,95599200
2019-11-11,13198.3701171875,13225.6201171875,13144.08984375,13170.1796875,72597200
2019-11-12,13283.509765625,13308.259765625,13214.66015625,13243.5302734375,82741400
2019-11-13,13230.0703125,13273.8203125,13139.25,13244.0498046875,77193800
2019-11-14,13180.23046875,13219.2998046875,13159.6904296875,13198.330078125,81582700
2019-11-15,13241.75,13261.7197265625,13172.8896484375,13261.7197265625,81039800
2019-11-18,13207.009765625,13282.41015625,13137.8798828125,13255.7802734375,69775200
2019-11-19,13221.1201171875,13374.26953125,13187.91015625,13235.2802734375,68664200
2019-11-20,13158.1396484375,13182.2197265625,13071.330078125,13127.4501953125,68735300
2019-11-21,13137.7001953125,13171.849609375,13043.900390625,13083.0,74515800
2019-11-22,13163.8798828125,13244.5703125,13120.6298828125,13145.76953125,74716200
2019-11-25,13246.4501953125,13268.9697265625,13210.25,13247.509765625,54920200
2019-11-26,13236.419921875,13261.98046875,13193.75,13256.400390625,89580100
2019-11-27,13287.0703125,13314.919921875,13219.4296875,13291.08984375,67304300
2019-11-28,13245.580078125,13259.2900390625,13215.7099609375,13247.6103515625,36771000
2019-11-29,13236.3798828125,13290.330078125,13165.0703125,13179.25,71753700
2019-12-02,12964.6796875,13338.25,12954.5,13264.9296875,105692200
2019-12-03,12989.2900390625,13086.0302734375,12927.0703125,13039.6103515625,87003100
2019-12-04,13140.5703125,13157.3603515625,12995.3203125,12998.66015625,68441900
2019-12-05,13054.7998046875,13188.6396484375,13054.7998046875,13144.3798828125,54216400
2019-12-06,13166.580078125,13171.2099609375,13055.98046875,13087.509765625,60141700
2019-12-09,13105.6103515625,13170.76953125,13100.240234375,13147.5703125,50345100
2019-12-10,13070.7197265625,13091.7099609375,12886.5498046875,13065.830078125,80064000
2019-12-11,13146.740234375,13169.76953125,13042.7001953125,13075.4296875,69220500
2019-12-12,13221.6396484375,13287.8095703125,13105.0703125,13167.5595703125,83998800
2019-12-13,13282.7197265625,13423.41015625,13255.5498046875,13383.259765625,106137100
2019-12-16,13407.66015625,13425.849609375,13338.3798828125,13349.8603515625,71200800
2019-12-17,13287.830078125,13394.4697265625,13269.4296875,13391.26953125,79260500
2019-12-18,13222.16015625,13286.0,13215.8798828125,13266.349609375,71001000
2019-12-19,13211.9599609375,13248.98046875,13140.2197265625,13226.7001953125,84018200
2019-12-20,13318.900390625,13324.1103515625,13201.7998046875,13210.259765625,170723200
2019-12-23,13300.98046875,13331.8603515625,13285.5498046875,13304.76953125,56215400
2019-12-27,13337.1103515625,13381.4404296875,13311.51953125,13338.3203125,43758600
2019-12-30,13249.009765625,13316.6201171875,13244.169921875,13301.4296875,31427400
